행 레이블,평균 : 당월_매출_금액,평균 : 총_유동인구_수,평균 : 월_평균_소득_금액,평균 : 지출_총금액,상권_변화_지표
1000390,531001794.6,5624101,3367038,9988442532,LL
1000391,541432653.8,6359607.333,3213541,10588108669,LL
1000392,358471414.4,5755550,3101445,10362434545,HH
1000393,385053327.9,6455621.833,3297906,11951734982,LL
1000394,678414499.5,7989282.167,2954457,10258080395,HL
1000395,324197498,4078983.5,3422341,8555137516,LH
1000396,897766540.2,6668179.667,2928479,13051505810,LH
1000397,146842187.8,1523299.083,3644941,3430864489,HH
1000398,652659586.5,7057735.417,3396343,13496396756,LH
1000399,491424703.3,6320614.917,2703002,11602381353,LH
1000400,1071445195,6111419.833,3148242,12220248361,LL
1000401,1044448194,7724334.25,2822620,13723806681,LH
1000402,1130285034,5924944.083,2905646,10924822685,LH
1000403,1398654162,6369610.167,2948335,12231050069,LL
1000404,1371317353,9370226.083,3065602,11209130657,LL
1000405,1534625243,7200885.75,3433301,10388207675,LL
1000406,1273447602,6797309.25,3110802,6410883227,LL
1000407,710937055.9,4276368.083,2653159,7020996094,HH
1000408,503599174.6,5010753.917,2960948,8032809878,HH
1000409,421453518.3,6308987.417,3023570,11971468213,LL
1000410,255082713.4,4695163.083,2894249,6440332412,LH
1000411,544965520.3,7084587.25,2693620,12951745224,LL
1000412,861585946.2,5243137.333,3284693,9552344468,HH
1000413,1161633689,5780175.583,3290665,9864215703,HL
1000414,308066886.4,2482977.417,3291995,6666962554,HH
1000415,667219705.4,8445552.917,2965265,11515066104,LL
1000416,892549104.8,9246874.833,3098952,11552555760,LL
1000417,663630916.1,5939623.083,2657208,5158350473,HL
1000418,856021364.5,5807892.25,2885589,6090962212,HL
1000419,879097029.2,5659624.25,3277047,5832838690,LL
1000420,678200744.7,5627953.167,3114876,8544208630,LL
1000421,818706902.6,7387454.5,3239388,11805485636,HH
1000422,417587161.2,5673501.5,3092768,7964071874,HH
1000423,245827457.4,3846029,3265226,7028410943,HL
1000424,495743713.4,4736498.75,3127249,7815666208,LH
1000425,819491077.8,8284154.833,2963179,12663969996,LH
1000426,342547861.1,2891787.333,3305473,5938106968,HL
1000427,300067867.6,3191075.25,3202535,6879560714,LL
1000428,304519937.6,2967783.083,3839486,7713223122,HH
1000429,1329563772,7720038.917,3031434,13729762150,LH
1000430,908341651.3,8887838.667,2771374,12939908033,LL
1000431,1172824392,6345240.167,2813805,8952602840,HL
1000432,819162711.3,4633598.25,3593545,8586320432,LL
1000433,905136049.7,7365670.583,2914959,8917104027,HH
1000434,767002877.5,6330082.167,2555596,8479151306,LH
1000435,592660052.8,4777224.833,3632306,9038374419,HH
1000436,544421982.4,6207829.833,4399597,8808250652,LH
1000437,429465829,5794370.75,3214788,8191917606,LL
1000438,700053766.9,4469625.083,4018246,12101638338,LH
1000439,718661153.2,16358607.5,3473478,6223067498,HH
1000440,942912064.6,4800918.417,3808358,6101001139,HH
1000441,949168398.5,4485136.917,3752653,8541949844,HH
1000442,1440010686,5461344.25,3600106,8175028953,HH
1000443,276026656.3,3414149,4308256,6832715413,LL
1000444,827798810.1,14805894.08,3402601,5133278236,HH
1000445,922525583.7,2568359.25,3592619,5093147100,LH
1000446,948183811.3,6107136.917,3055544,10578227497,LL
1000447,664527135.7,5839121.917,3650407,8564883338,LL
1000448,339699685.4,7275749.25,3498379,11303108917,HH
1000449,1022900737,9321837.75,3426010,14677560848,HH
1000450,558443979.1,5877531.25,3336568,7545199363,LH
1000451,1087817675,9364699.75,4096740,6071705335,HH
1000452,1292206702,3353788.583,4421899,3381343673,LH
1000453,391993916.3,2469869.083,4587384,3229148685,HH
1000454,1019243765,5142179,3246950,6410836221,HH
1000455,1330737249,4493077.167,3750496,4815595219,HL
1000456,289885362.4,3794909.167,3523618,5261169253,LH
1000457,244269748.3,2522240.417,3673933,5514960091,LH
1000458,801587927.9,4377060.417,4386847,6399211891,HH
1000459,1165856490,7420809.25,3609759,8321753287,HH
1000460,565891726.7,4417270.5,3302273,6000999184,HH
1000461,1314356646,5625335.583,4531580,10949956791,LL
1000462,1827255013,5340555.083,4592289,8898455271,LH
1000463,358580033.2,2819875.75,5340821,5815435476,HH
1000464,940798985.2,5807010.167,4194842,8198161143,HH
1000465,1332924651,3294811.167,3478565,5328734282,LL
1000466,1083828726,5505477.917,3365257,8041793014,LL
1000467,895475316.4,4706611.333,3413953,7114294798,LL
1000468,1112537969,4747952.417,3507352,6115746712,LL
1000469,1382279765,6369774,3546215,8206452576,LL
1000470,1071818674,5793181.417,3560104,7063999337,LL
1000471,813403817.4,5441881.75,5062341,5550728211,LL
1000472,452779696.1,4943220.417,4920128,7478067960,HH
1000473,916992637.4,4461872.917,4789898,6283762940,LH
1000474,619821772.2,7053991.167,4487888,9175682996,HH
1000475,1143171149,6363752.25,3428230,9719536596,LL
1000476,826526765.8,6552156.417,3405494,12397341469,LL
1000477,1280563489,2183170.417,4054798,5225340757,LL
1000478,539382827.7,3902649.75,3994708,7562899334,LH
1000479,4777528166,5913914.833,3543494,8827664162,LL
1000480,1144385499,6035605.833,4688782,7463143164,LL
1000481,703651258.6,4174498.583,3401926,8230392679,LH
1000482,1180898989,6190428.167,3436656,9748790384,HL
1000483,795893682.8,4407374.75,3383137,6478451288,LL
