행 레이블,평균 : 월_평균_소득_금액,평균 : 지출_총금액
1000881,4738747,8877812758
1000882,5767542,4879243887
1000883,5258139,6851622359
1000884,4789040,8546434373
1000885,4984142,10519386033
1000886,3162668,8454555132
1000887,3945907,7581673803
1000888,4249247,4049312626
1000889,3437496,7225871787
1000890,3424850,6675976307
1000891,3486529,5376648528
1000892,4766367,3213227908
1000893,5504436,10101380459
1000894,3738013,5681759221
1000895,3420943,6437271136
1000896,3350504,9478711670
1000897,3178957,7573194276
1000898,3766914,5611010570
1000899,3833784,4302750537
1000900,4316526,7903674998
1000901,5153134,6225804987
1000902,5014770,9475637182
1000903,3544612,5469423728
1000904,5830787,12442048602
1000905,3779810,4408325047
1000906,3783428,4107423885
1000907,4017851,4046472528
1000908,3943473,3670044053
1000909,4544963,4054525787
1000910,6049973,4583331523
1000911,5810995,4819829744
1000912,5708207,7394288288
1000913,4233267,7592007333
1000914,4635403,9231320995
1000915,5316141,6760706302
1000916,4269105,6708910943
1000917,5687329,10664340320
1000918,5090194,5758962901
1000919,7042637,8681485614
1000920,6316172,11019527869
1000921,5639361,9385723524
1000922,4718070,12306021654
1000923,4608289,10333473363
1000924,4976923,6918833948
1000925,5524775,10177336402
1000926,4621956,4642556432
1000927,5054057,5668445677
1000928,3830206,3974748392
1000929,5250086,5925506161
1000930,5075985,10415381195
1000931,5402626,5274709704
1000932,5704851,8611291167
1000933,3724117,9078473309
1000934,4027409,8525655093
1000935,4461173,2532378325
1000936,4647504,4589956347
1000937,5406173,8686684222
1000938,3412610,8989990281
1000939,5770099,8941792180
1000940,2904009,7931857741
1000941,4510547,8901944928
1000942,2921896,9793682402
1000943,5256506,13260991615
1000944,3356418,13095617241
1000945,4149768,15936112026
1000946,2644744,13846839067
1000947,3216050,13696001023
1000948,3297368,13844343891
1000949,3594587,9107376663
1000950,3791231,9834942583
1000951,3601441,13346750043
1000952,4333567,12500882458
1000953,3430372,12578849636
1000954,4936943,20809942343
1000955,4512624,12049838231
1000956,4199160,11800418853
1000957,3784729,7971208859
1000958,4140165,8997252074
1000959,4089017,8597735406
1000960,3955228,9660828284
1000961,5213993,7603222567
1000962,5196517,9382836459
1000963,3285853,13354565674
1000964,4243876,8196333047
1000965,4622315,10668161363
1000966,3146422,7174480902
1000967,3513617,7396047275
1000968,3641720,11380601573
1000969,3791155,6026655522
1000970,4905901,4593851527
1000971,2935188,12241021835
1000972,3013525,12092053271
1000973,2890971,13786844469
1000974,4835718,4873829211
1000975,2776607,2412176955
1000976,4759381,5142709228
1000977,3764052,10195063387
1000978,3028694,10509049407
1000979,3349872,10366093691
1000980,3420419,9473669441
1000981,3851060,10081634211
1000982,3192816,3592107793
1000983,3946035,9539139883
1000984,3956669,7404804804
1000985,3747864,16320049045
1000986,3364093,13039776982
1000987,3096952,8234786054
1000988,3273773,11932479495
1000989,3172079,11792179893
1000990,3422964,10030695252
1000991,3606842,11767761881
1000992,3948824,10473554913
1000993,4266034,6346117465
1000994,3519250,6144800930
1000995,3327925,7677375325
1000996,3401486,6698358455
1000997,2920340,7869956940
1000998,2992993,12626911602
1000999,3314978,15164282003
1001000,3082323,8633994725
1001001,2960855,12525005939
1001002,3339688,11855466257
1001003,3572569,11269320105
1001004,3510871,13894264401
1001005,3524359,9627552630
1001006,3667573,9677203365
1001007,3054443,2119012147
1001008,3289770,6868562895
1001009,3469075,9663549099
1001010,3380864,12266211982
