행 레이블,평균 : 당월_매출_금액
1000696,3334028593
1000697,549033281
1000698,808045602.3
1000699,454606086.8
1000700,899874214.3
1000701,1587960443
1000702,1480106314
1000703,918033327.8
1000704,396523666.5
1000705,488015689.8
1000706,546154165.2
1000707,943707374.8
1000708,1165644845
1000709,526671201.7
1000710,928521626.2
1000711,1219796692
1000712,889201182.7
1000713,1008464261
1000714,564398995.6
1000715,519582179.1
1000716,460103890.5
1000717,433773762.1
1000718,624011999.9
1000719,920772181.6
1000720,532767828.6
1000721,1593567270
1000722,720457123.7
1000723,337042614.4
1000724,422485608.7
1000725,590347417.1
1000726,1615847911
1000727,2573553842
1000728,3460766130
1000729,821487071.7
1000730,740009155.7
1000731,689895621.4
1000732,668145564.8
1000733,1313487713
1000734,1086781891
1000735,709106937.3
1000736,385741090.7
1000737,639554260.9
1000738,1146326149
1000739,1146580772
1000740,1362931623
1000741,1740740003
1000742,810247987.5
1000743,1237968318
1000744,7025993625
1000745,877717411.6
1000746,675992719.7
1000747,715680414.7
1000748,707872754.9
1000749,583754979.3
1000750,411474148.3
1000751,500468028.6
1000752,846661823.9
1000753,1674315515
1000754,180580836.9
1000755,1004505935
1000756,534407965.9
1000757,1116075100
1000758,752831948.5
1000759,889822559.1
1000760,418516748.9
1000761,810423813.1
1000762,446973904.1
1000763,839316191.7
1000764,909052257.8
1000765,868994029.7
1000766,1155319734
1000767,1029210479
1000768,860826869.4
1000769,219271414
1000770,763489923.4
1000771,471814562
1000772,928389646.4
1000773,1034396475
1000774,544365210.1
1000775,751936745.9
1000776,518978830.9
1000777,7201228338
1000778,812084240.7
1000779,819217792.7
1000780,956007077.9
1000781,2573498916
1000782,609550628.9
1000783,611396297.2
1000784,355892754.4
1000785,1097612441
1000786,487159695
1000787,557961388
1000788,1018582499
1000789,180605103.6
1000790,353575055
1000791,559897794
1000792,533266854
1000793,539463132.8
1000794,264601713.6
1000795,626266265.4
1000796,882156453.9
1000797,620065300.3
1000798,813842732.8
1000799,857470163.7
1000800,707631949.2
1000801,663886615.8
1000802,1093301218
1000803,541097072.7
1000804,967821554.8
1000805,409433694.6
1000806,780191549.6
1000807,613195171
1000808,476473826.7
1000809,561439000.2
1000810,347201101.8
1000811,605246136
1000812,1132898842
1000813,465427645
1000814,767434364.6
1000815,1453407788
1000816,723526054
1000817,900357113.5
1000818,243415034.7
1000819,310775608.5
1000820,1713322336
1000821,1881500624
1000822,327364914.2
1000823,1123709051
1000824,2417808045
1000825,514633320.7
1000826,509353858.2
1000827,826150905.9
1000828,600496351
1000829,1879563887
1000830,619516654.2
1000831,943792980.7
1000832,1417216505
1000833,814377520.9
1000834,1205720346
1000835,306985373.2
1000836,2390453522
1000837,1010937733
1000838,831462764.5
1000839,1087814691
1000840,559834080.1
1000841,553829313.5
1000842,213212748.8
1000843,383691201.2
1000844,771524545.1
1000845,1548775549
1000846,1011618812
1000847,1921343715
1000848,1087110153
1000849,2522633402
1000850,2159213129
1000851,759476635.7
1000852,2243024321
1000853,1478709480
1000854,758933879.3
1000855,956994380
1000856,622245309.5
1000857,1687132232
1000858,1007842352
1000859,1138092333
1000860,1607922220
1000861,746550991.2
1000862,1224803091
1000863,797520234.7
1000864,555273832.7
1000865,1701083065
1000866,959416449.6
1000867,940145135.2
1000868,2290787517
1000869,1068976906
1000870,1184708394
1000871,1135583692
1000872,1018492499
1000873,936558415.4
1000874,485455792.4
1000875,1370171697
1000876,1361405987
1000877,1733470826
1000878,1424713149
1000879,1192805630
1000880,1306022882
1000881,1554417647
1000882,782223228.7
1000883,811858494.4
1000884,776223779.9
1000885,2770149909
1000886,1449359927
1000887,2767556859
1000888,3158331108
1000889,2193407566
1000890,1961862548
1000891,955443824.5
1000892,423481638
1000893,1180967106
1000894,1642771913
1000895,1106428043
1000896,1896600560
1000897,1856985561
1000898,2414644746
1000899,2537394686
1000900,2494291872
1000901,1398152568
1000902,1315371451
1000903,639146532.8
1000904,1120816941
1000905,2484085958
1000906,2999339234
1000907,1757077651
1000908,1850476423
1000909,2220810167
1000910,3357986918
1000911,1526440471
1000912,626644977.8
1000913,1908161612
1000914,1750163515
1000915,1168499356
1000916,1324515877
1000917,1080939127
1000918,2064529445
1000919,2543491993
1000920,3037080451
1000921,2789136589
1000922,2679525316
1000923,2901651783
1000924,1638225445
1000925,1543867135
1000926,1576308810
1000927,3234059412
1000928,235786686.5
1000929,2420342763
1000930,2102543146
1000931,1428416678
1000932,2622326093
1000933,631146931.6
1000934,1115709013
1000935,4977330338
1000936,1671053271
1000937,1579856819
1000938,2629954010
1000939,1596388511
1000940,1440314920
1000941,1094908575
1000942,1387198477
1000943,1533196208
1000944,1017526684
1000945,1659882226
1000946,1297533928
1000947,1176124064
1000948,1139194461
1000949,962254217.7
1000950,1308063664
1000951,1541663094
1000952,1099985073
1000953,1102008102
1000954,2473725092
1000955,1147935902
1000956,1283714494
1000957,1495095314
1000958,7685526013
1000959,7532415429
1000960,1165803752
1000961,1221433017
1000962,1258344535
1000963,2256209006
1000964,462634389.6
1000965,885873411.9
1000966,909648767.2
1000967,978405790.4
1000968,1017080185
1000969,241703236.6
1000970,341707152
1000971,583483098.8
1000972,762668124.3
1000973,482700823.5
1000974,247984702.2
1000975,162493531
1000976,353151750.2
1000977,669936638.4
1000978,1143908661
1000979,1105618427
1000980,1089476874
1000981,1031733274
1000982,525991580.6
1000983,854497550.6
1000984,886751905.1
1000985,444591373.1
1000986,1289515864
1000987,1149111419
1000988,702009555.5
1000989,1114560907
1000990,1114729274
1000991,949254634.5
1000992,775336859.5
1000993,918964146
1000994,1644555898
1000995,1412523799
1000996,1391955892
1000997,1297878110
1000998,1154385072
1000999,1171564859
1001000,1398699728
1001001,854990174.8
1001002,846010748.1
1001003,1326849753
1001004,1047094723
1001005,1170914880
1001006,442226024.8
1001007,519505688.6
1001008,1925643392
1001009,902277687.1
1001010,614418695.6
